,book title,ratings,avg_score,author,score,votes
4149,Finding my Prince Charming,"6,496",3.36,J.S. Cooper,"73,",1
4150,The Amaranth Enchantment,"11,746",3.66,Julie Berry,"73,",1
4151,"Stitch (Stitch Trilogy, #1)","1,268",3.69,Samantha Durante,"73,",1
4152,"Lawe's Justice (Breeds, #18; Feline Breeds, #15)","7,163",4.12,Lora Leigh,"73,",1
4153,Baby V (Chianti Kisses #1),894,3.64,Tara Oakes,"73,",1
4154,Middle of the Rainbow,8,3.88,Muriel Jensen,"73,",1
4155,"Allegiance of Honor (Psy-Changeling, #15)","12,177",4.28,Nalini Singh,"73,",1
4156,Depay (Broken Deeds MC #3),682,4.35,Esther E. Schmidt,"73,",1
4157,The Age of Innocence,"161,680",3.96,Edith Wharton,"73,",1
4158,When It's Real,"24,321",4.01,Erin Watt,"73,",2
4159,Hothead (Irresistible #4),"5,674",4.18,Stella Rhys,"73,",1
4160,"Beard in Waiting (Winston Brothers, #3.5)","4,495",4.01,Penny Reid,"73,",1
4161,Book Boyfriend Boxed Set (Book Boyfriend #1-3.5 + bonus),156,4.45,Erin Noelle,"73,",1
4162,Before Dawn (Nightwind #1),"1,446",4.12,Suzanne Halliday,"73,",1
4163,Ausgeliefert in den Highlands,"8,035",3.93,Tracy Brogan,"73,",1
4164,"Behold, Here's Poison (Inspectors Hannasyde & Hemingway, #2)","4,183",3.84,Georgette Heyer,"73,",1
4165,"First Comes Like (Modern Love, #3)","7,546",3.55,Alisha Rai,"73,",1
4166,"Apache Flame (Coltons, #6)",96,4.45,Janis Reams Hudson,"72,",1
4167,How to Build a House,"2,489",3.70,Dana Reinhardt,"72,",1
4168,"The Empress' New Clothes (Trek Mi Q'an, #1)","4,734",3.65,Jaid Black,"72,",1
4169,Hush (Lodestone #1; Stark Brothers #1),"1,883",3.94,Cherry Adair,"72,",1
4170,You Against Me,"18,444",3.70,Jenny Downham,"72,",1
4171,True Love Story,"21,266",4.03,Willow Aster,"72,",1
4172,"Days of Gold (Edilean, #2)","6,138",3.86,Jude Deveraux,"72,",1
4173,"Aiden's Charity (Breeds, #10; Wolf Breeds, #4)","7,300",4.10,Lora Leigh,"72,",1
4174,Moonshot,"13,594",4.01,Alessandra Torre,"72,",1
4175,"Wild Embrace (Psy-Changeling, #2.5, #5.5, #11.5, #12.25)","6,721",4.30,Nalini Singh,"72,",1
4176,Elsie (Swamp Heads #2),163,4.28,Esther E. Schmidt,"72,",1
4177,What Dreams May Come,"12,992",3.95,Richard Matheson,"72,",1
4178,"Dirty Angels (Dirty Angels, #1)","8,831",3.90,Karina Halle,"72,",1
4179,"Kissing Tolstoy (Dear Professor, #1)","12,223",3.86,Penny Reid,"72,",1
4180,Things We Know by Heart,"15,587",3.99,Jessi Kirby,"72,",1
4181,Dear Life,"3,614",4.42,Meghan Quinn,"72,",1
4182,"Receiver of Many (Hades & Persephone, #1)","2,979",3.95,Rachel Alexander,"72,",1
4183,The Wedding Affair (The Affair #2),219,4.46,Suzanne Halliday,"72,",1
4184,"Burn for Me (Hidden Legacy, #1)","55,240",4.32,Ilona Andrews,"72,",1
4185,Dear Emmie Blue,"15,926",4.12,Lia Louis,"72,",1
4186,"Run from Fear (Dead Wrong, #3)","1,264",3.95,Jami Alden,"71,",1
4187,Always,"3,267",3.82,Lynsay Sands,"71,",1
4188,Undone,956,3.95,Brooke   Taylor,"71,",1
4189,"The Accidental Vampire (Argeneau, #7)","18,968",4.23,Lynsay Sands,"71,",3
4190,"Beyond Innocence (Beyond Duet, #1)","1,658",3.61,Emma Holly,"71,",1
4191,"Your Wicked Heart (Rules for the Reckless, #0.5)","1,797",3.65,Meredith Duran,"71,",1
4192,"Heartwishes (Edilean, #5)","5,057",4.01,Jude Deveraux,"71,",1
4193,"Edible (Exquisite, #3)","6,836",4.18,Ella Frank,"71,",1
4194,Christmas Revels,469,3.99,Mary Jo Putney,"71,",1
4195,Undertow,avg,really,Amber Lynn Natusch,"71,",1
4196,"How to Flirt with a Naked Werewolf (Naked Werewolf, #1)","19,951",3.96,Molly Harper,"71,",1
4197,Becoming Lady Lockwood,"4,968",4.08,Jennifer  Moore,"71,",1
4198,Get Lucky,"8,621",3.75,Lila Monroe,"71,",1
4199,"Everything and the Moon (The Lyndon Sisters, #1)","15,094",3.76,Julia Quinn,"71,",1
4200,"Whisper of Sin (Psy-Changeling, #0.75)","6,417",4.18,Nalini Singh,"71,",1
4201,Frederick,300,4.18,Esther E. Schmidt,"71,",1
4202,"Derik's Bane (Wyndham Werewolf, #4)","4,512",3.69,MaryJanice Davidson,"71,",1
4203,Smut,"11,630",3.90,Karina Halle,"71,",1
4204,"Dr. Strange Beard (Winston Brothers, #5)","17,914",4.07,Penny Reid,"71,",1
4205,Last Year's Mistake,"6,271",3.72,Gina Ciocca,"71,",1
4206,Sift,473,4.06,L.D. Davis,"71,",1
4207,"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)","123,720",3.97,Kerri Maniscalco,"71,",1
4208,Wilde Heart (Wilde Women #2),442,4.43,Suzanne Halliday,"71,",1
4209,Lightning In Sea (Celtic Elementals #3),15,4.07,Heather R. Blair,"71,",1
4210,Side Trip,"5,257",4.33,Kerry Lonsdale,"71,",1
4211,Playing with Fire - Feurige Versuchung,"16,291",4.01,Jennifer Probst,"71,",1
4212,When a Man Marries,292,3.81,Mary Roberts Rinehart,"71,",1
4213,Snow Day,"2,418",3.51,Julie Lipson,"71,",1
4214,Damaged Goods,"5,012",3.72,Lauren Gallagher,"70,",1
4215,Love Is Blind,"6,185",3.95,Lynsay Sands,"70,",1
4216,"Cry for Passion (The Men and Women's Club, #3)",400,3.75,Robin Schone,"70,",1
4217,Special of the Day,280,3.64,Elaine Fox,"70,",1
4218,"Willing Victim (Flynn and Laurel, #1)","9,748",3.74,Cara McKenna,"70,",1
4219,Dangerous Liaisons,"50,018",4.06,Pierre Choderlos de Laclos,"70,",1
4220,"Scarlet Nights (Edilean, #3)","6,542",3.97,Jude Deveraux,"70,",1
4221,"Entice (Exquisite, #2)","6,870",4.06,Ella Frank,"70,",1
4222,"For All Eternity (Vampire, #2)","1,088",4.03,Linda Lael Miller,"70,",1
4223,"The Chocolate Temptation (Amour et Chocolat, #6)","1,275",3.91,Laura Florand,"70,",1
4224,"With Everything I Am (The Three, #2)","20,878",4.24,Kristen Ashley,"70,",1
4225,"Severed Angel (Severed MC, #1)","2,998",3.91,K.T. Fisher,"70,",1
4226,"The Care and Feeding of Stray Vampires (Half-Moon Hollow, #1)",avg,really,Molly Harper,"70,",1
4227,Magnificent Bastard (Sexy Flirty Dirty #1),"5,554",4.06,Lili Valente,"70,",1
4228,Heat Wave,110,3.39,Barbara Delinsky,"70,",1
4229,"Texture of Intimacy (Psy-Changeling, #10.5)","3,885",4.17,Nalini Singh,"70,",1
4230,Ford (The Dudnik Circle #1),361,4.14,Esther E. Schmidt,"70,",1
4231,"Oracle's Moon (Elder Races, #4)","13,769",4.24,Thea Harrison,"70,",1
4232,"Wife Number Seven (The Compound, #1)","3,563",3.92,Melissa  Brown,"70,",1
4233,"Goddess of Legend (Goddess Summoning, #7)","4,769",3.92,P.C. Cast,"70,",1
4234,"The Hearts Series (Hearts, #1-4, #5.75)",556,4.47,L.H. Cosway,"70,",1
4235,Dear Enemy,"25,649",3.95,Kristen Callihan,"70,",1
4236,Evidence of the Affair,"83,823",3.93,Taylor Jenkins Reid,"70,",1
4237,"Anarchy at Prescott High (The Havoc Boys, #4)","10,602",4.37,C.M. Stunich,"70,",1
4238,Paradise Rules,536,3.64,Beth Kery,"69,",1
4239,"Reckless Magic (Star-Crossed, #1)","13,482",3.96,Rachel Higginson,"69,",1
4240,"A Roguish Gentleman (Harlequin Historical Subscription, #129)",54,3.67,Mary Brendan,"69,",1
4241,"A Touch of Sin (St. John-Duras, #4)",562,3.83,Susan Johnson,"69,",1
4242,Hot Stuff,362,3.73,Elaine Fox,"69,",1
4243,Don't You Forget About Me,"3,352",3.82,Alexandra Potter,"69,",1
4244,"Exquisite (Exquisite, #1)","12,890",3.95,Ella Frank,"69,",1
4245,"Just My Luck (Escape to New Zealand, #5)","2,472",4.08,Rosalind  James,"69,",1
4246,"Broken Dove (Fantasyland, #4)","16,857",4.18,Kristen Ashley,"69,",1
4247,"Cash's Fight (The Last Riders, #5)","8,934",4.26,Jamie Begley,"69,",1
4248,"Bengal's Heart (Breeds, #14; Feline Breeds, #12)","9,325",4.17,Lora Leigh,"69,",1
4249,"The Year We Hid Away (The Ivy Years, #2)","14,297",4.08,Sarina Bowen,"69,",1
4250,"Secrets at Midnight (Psy-Changeling, #12.5)","4,156",4.19,Nalini Singh,"69,",1
4251,Tyler (Areion Fury MC #3),537,4.35,Esther E. Schmidt,"69,",1
4252,Here's to Falling,"3,826",4.17,Christine Zolendz,"69,",1
4253,"Beauty and the Mustache (Knitting in the City, #4; Winston Brothers, #0)","28,471",4.21,Penny Reid,"69,",1
4254,A Love Letter to Whiskey,"18,413",4.22,Kandi Steiner,"69,",1
4255,"Goddess of Spring (Goddess Summoning, #2)","10,384",4.19,P.C. Cast,"69,",1
4256,Undefeated,339,4.67,Suzanne Halliday,"69,",1
4257,Sixpence & Whiskey (Toil & Trouble #1),482,3.87,Heather R. Blair,"69,",1
4258,After I Do,"100,909",3.99,Taylor Jenkins Reid,"69,",1
4259,The Mysterious Key and What It Opened,"1,238",3.54,Louisa May Alcott,"69,",1
4260,"Next to Die (SEAL Team 12, #4)","2,375",4.13,Marliss Melton,"68,",1
4261,"No Place for a Lady (Scandalous Ravenhursts, #0.5)",197,3.75,Louise Allen,"68,",1
4262,Swept Off Her Feet,37,3.68,Camille Anthony,"68,",1
4263,Immortal,"4,868",3.70,Lauren Burd,"68,",1
4264,My Stubborn Heart,"5,615",4.17,Becky Wade,"68,",1
4265,"Finn (Blue-Collar Billionaires, #2)","2,365",4.03,M. Malone,"68,",1
4266,The Raven's Bride,388,3.33,Lenore Hart,"68,",1
4267,"The Vendetta (Blood Vows, #1)",312,3.70,E. Jamie,"68,",1
4268,Broke (Broken Deeds MC #2),811,4.33,Esther E. Schmidt,"68,",1
4269,"Hero (Hero, #1)","32,679",4.04,Samantha Young,"68,",1
4270,"Grin and Beard It (Winston Brothers, #2)","28,219",4.13,Penny Reid,"68,",1
4271,"The Man I Love (The Fish Tales, #1)","2,637",4.36,Suanne Laqueur,"68,",1
4272,Control (Sinful Shares #1),107,4.32,Suzanne Halliday,"68,",1
4273,Circe,"825,512",4.25,Madeline Miller,"68,",1
4274,Wolf's Glory (After the Crash #2),680,3.89,Maddy Barone,"67,",1
4275,Shadow And Silk,875,3.92,Ann Maxwell,"67,",2
4276,"If You Know Her (The Ash Trilogy, #3)","1,822",4.01,Shiloh Walker,"67,",1
4277,"The Shocking Lord Standon (Those Scandalous Ravenhursts, #3)",217,3.77,Louise Allen,"67,",1
4278,"The Gathering (Darkness Rising, #1)","62,861",4.01,Kelley Armstrong,"67,",2
4279,"Three Reasons Why (The Madison Stories, #2)",279,3.94,Mari Carr,"67,",1
4280,My Forever Love,34,3.94,B.A. Osahor,"67,",1
4281,"Heavenly (Heavenly, #1)","2,684",3.74,Jennifer Laurens,"67,",1
4282,Man at Work,811,3.72,Elaine Fox,"67,",1
4283,"Megan's Hero (The Callahans of Texas, #3)","1,139",4.38,Sharon Gillenwater,"67,",1
4284,The Redeeming (Age of Faith #3),"1,134",4.36,Tamara Leigh,"67,",1
4285,Just a Little Kilted,159,3.99,Shayne McClendon,"67,",1
4286,"A Loving Scoundrel (Malory-Anderson Family, #7)","13,654",4.17,Johanna Lindsey,"67,",2
4287,"The Promise (The 'Burg, #5)","16,406",4.18,Kristen Ashley,"67,",1
4288,La donna del tenente francese,"51,000",3.88,John Fowles,"67,",1
4289,Electric,708,3.93,E. Winters,"67,",1
4290,"Jockblocked (Gridiron, #2)","7,883",4.03,Jen Frederick,"67,",1
4291,"Mrs. Scrooge (Rocky Hill, #1)",522,4.01,Barbara Bretton,"67,",1
4292,Dams (Areion Fury MC #2),681,4.43,Esther E. Schmidt,"67,",1
4293,"Ross Poldark (Poldark, #1)","30,891",4.08,Winston Graham,"67,",1
4294,"Moonlight on Nightingale Way (On Dublin Street, #6)","17,104",4.22,Samantha Young,"67,",1
4295,"Undead and Unwed (Undead, #1)","55,700",3.81,MaryJanice Davidson,"67,",1
4296,Forbidden (Sinful Shares #3),112,4.52,Suzanne Halliday,"67,",1
4297,"Concerto (North Security, #2)","2,661",4.15,Skye Warren,"67,",1
4298,"Sleeping With the Wolf (After the Crash, #1)","1,811",3.50,Maddy Barone,"66,",1
4299,"The Rogue Prince (Lords of the Var, #4)","1,563",4.15,Michelle M. Pillow,"66,",2
4300,"Gravity (The Eclipse, #1)",523,3.59,Michelle Leighton,"66,",1
4301,The Viscount's Betrothal,265,3.63,Louise Allen,"66,",1
4302,The Alpha Promise,445,4.19,Hayat Ali,"66,",1
4303,"Emily's Chance (The Callahans of Texas, #2)","1,170",4.28,Sharon Gillenwater,"66,",1
4304,"The Yielding (Age of Faith, #2)","1,307",4.27,Tamara Leigh,"66,",1
4305,"Howl’s Moving Castle (Howl’s Moving Castle, #1)","297,280",4.29,Diana Wynne Jones,"66,",1
4306,Yes to Everything,678,4.12,Shayne McClendon,"66,",1
4307,"That Perfect Someone (Malory-Anderson Family, #10)",avg,really,Johanna Lindsey,"66,",1
4308,"Resist Me (Men of Inked, #3)","8,793",4.31,Chelle Bliss,"66,",1
4309,"Mercury's War (Breeds, #12; Feline Breeds, #10)","11,981",4.37,Lora Leigh,"66,",1
4310,Scent of Cloves,299,3.90,Norah Lofts,"66,",1
4311,Deeds (Broken Deeds MC #1),"1,006",4.35,Esther E. Schmidt,"66,",1
4312,"Reclaiming the Sand (Reclaiming the Sand, #1)","6,084",4.10,A. Meredith Walters,"66,",1
4313,"Walk the Edge (Thunder Road, #2)","8,837",4.24,Katie McGarry,"66,",1
4314,Until It Fades,"21,750",3.93,K.A. Tucker,"66,",1
4315,Slip of the Tongue,"6,807",3.85,Jessica Hawkins,"66,",1
4316,"The Star-Touched Queen (The Star-Touched Queen, #1)","25,687",3.56,Roshani Chokshi,"66,",1
4317,"Hidden (Sinful Shares, #2)",77,4.60,Suzanne Halliday,"66,",1
4318,Threescore & Tequila (Toil & Trouble #4),161,4.23,Heather R. Blair,"66,",1
4319,"Hände weg vom Quarterback (New York Titans, #9)",159,4.15,Poppy J. Anderson,"66,",1
4320,"Wicked (A Wicked Trilogy, #1)","46,245",3.98,Jennifer L. Armentrout,"66,",1
4321,"Sonata (North Security, #3)","1,973",4.08,Skye Warren,"66,",1
4322,"The Larkswood Legacy (Somerset, #2)",68,3.75,Nicola Cornick,"65,",1
4323,"The Finding (Law of the Lycans, #3)","14,246",4.18,Nicky Charles,"65,",2
4324,"Blaze of Winter (Star Harbor, #2)",687,3.86,Elisabeth Barrett,"65,",1
4325,Reconstructing Jada Channing,477,3.92,Savannah J. Frierson,"65,",1
4326,"Guys & Dogs (Guys & Dogs, #1)",800,3.66,Elaine Fox,"65,",1
4327,"Connected (Connections, #1)","20,613",4.09,Kim Karr,"65,",1
4328,"The Barter System (The Barter System, #1)","1,297",4.22,Shayne McClendon,"65,",1
4329,"Chasing Perfection: Vol. I (Chasing Perfection, #1)","2,951",3.94,M.S. Parker,"65,",1
4330,Corban (Wicked Throttle MC #0.5),828,4.15,Esther E. Schmidt,"65,",1
4331,"Tell Me Something (Something, #1)","1,535",4.09,Aubrey Bondurant,"65,",1
4332,"The Fall (The Reluctant Romantics, #1)","4,199",3.95,Kate  Stewart,"65,",1
4333,"Witches of East End (The Beauchamp Family, #1)","20,413",3.52,Melissa de la Cruz,"65,",1
4334,Jassy,303,3.96,Norah Lofts,"65,",1
4335,Magpies & Moonshine (Toil & Trouble #6),125,4.26,Heather R. Blair,"65,",1
4336,"Auszeit für die Liebe (New York Titans, #8)",162,3.98,Poppy J. Anderson,"65,",1
4337,"Audition (North Security, #4)","1,133",3.94,Skye Warren,"65,",1
4338,"Lady Polly (Suffolk, #2)",122,3.31,Nicola Cornick,"64,",1
4339,"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)","84,413",3.60,Carrie Ryan,"64,",1
4340,"Deep Autumn Heat (Star Harbor, #1)",913,3.76,Elisabeth Barrett,"64,",1
4341,Burn,808,3.89,Crystal Hubbard,"64,",1
4342,Mercy Burns (Myth and Magic #2),"2,787",4.03,Keri Arthur,"64,",1
4343,Connections,592,3.49,Sheila O'Flanagan,"64,",1
4344,"Dark Slayer (Dark, #17)","16,701",4.41,Christine Feehan,"64,",1
4345,"The Unveiling (Age of Faith, #1)","2,438",4.11,Tamara Leigh,"64,",1
4346,The Hermit,avg,really,Shayne McClendon,"64,",1
4347,"Sierra's Homecoming (McKettricks, #5)","2,355",4.10,Linda Lael Miller,"64,",1
4348,"Throttle Me (Men of Inked, #1)","18,809",4.01,Chelle Bliss,"64,",1
4349,Memoriale del convento,"20,488",3.94,José Saramago,"64,",1
4350,"Tanner's Scheme (Breeds, #8; Feline Breeds, #7)","11,854",4.22,Lora Leigh,"64,",1
4351,"Sincerely, Carter (Sincerely Yours, #1)","34,174",4.02,Whitney G.,"64,",1
4352,Cyrus (Swamp Heads #1),320,4.04,Esther E. Schmidt,"64,",1
4353,Desperately Seeking Epic,"5,065",4.33,B.N. Toler,"64,",1
4354,"Nowhere But Here (Thunder Road, #1)","16,426",4.03,Katie McGarry,"64,",1
4355,"Depravity (Beastly Tales, #1)","7,680",3.94,M.J. Haag,"64,",1
4356,"The Heart (The Reluctant Romantics, #2)","1,428",4.36,Kate  Stewart,"64,",1
4357,"Dark Challenge (Dark, #5)","22,554",4.25,Christine Feehan,"64,",1
4358,After Midnight (Nightwind #2),521,4.50,Suzanne Halliday,"64,",1
4359,Déjà Vu & Gin (Toil & Trouble #5),139,4.12,Heather R. Blair,"64,",1
4360,"Frost Maiden (Space Lords, #1)",765,4.13,Michelle M. Pillow,"63,",1
4361,"The Bound Prince (Lords of the Var, #3)","2,020",4.16,Michelle M. Pillow,"63,",2
4362,"One Wicked Sin (Scandalous Women of the Ton, #2)",727,3.81,Nicola Cornick,"63,",1
4363,"The Dead-Tossed Waves (The Forest of Hands and Teeth, #2)","30,702",3.91,Carrie Ryan,"63,",1
4364,Wild Irish Christmas (Wild Irish #8),702,4.31,Mari Carr,"63,",1
4365,"Seize The Dawn (Graham, #3)",702,3.93,Shannon Drake,"63,",1
4366,"The Binding (The Velesi Trilogy, #1)","3,722",4.07,L. Filloon,"63,",1
4367,My Favourite Goodbye,"1,609",3.96,Sheila O'Flanagan,"63,",1
4368,"Cut & Run (Cut & Run, #1)","24,270",4.03,Madeleine Urban,"63,",1
4369,Something Shady,671,4.06,Pamela Morsi,"63,",1
4370,The Story Guy,"2,104",3.92,Mary Ann Rivers,"63,",1
4371,"The Two Princesses of Bamarre (The Two Princesses of Bamarre, #1)","70,740",4.05,Gail Carson Levine,"63,",2
4372,"Hook Me (Men of Inked, #2)","9,933",4.22,Chelle Bliss,"63,",1
4373,Mandami tanta vita,315,3.35,Paolo Di Paolo,"63,",1
4374,Kidnapping the Brazilian Tycoon,298,4.02,Carmen Falcone,"63,",1
4375,"In the Beginning (Volkov Bratva, #1)","3,609",3.97,London Miller,"63,",1
4376,"Rival (Fall Away, #2)","47,458",4.05,Penelope Douglas,"63,",1
4377,"Where One Goes (Where One Goes, #1)","9,008",4.42,B.N. Toler,"63,",1
4378,"The Temptation of the Night Jasmine (Pink Carnation, #5)","7,073",3.77,Lauren Willig,"63,",1
4379,"The Wingman (Alpha Men, #1)","6,478",3.97,Natasha Anders,"63,",1
4380,"The Black Lily (Vampire Blood, #1)","1,093",3.67,Juliette Cross,"63,",1
4381,"My Soul to Keep (Soul, #1)","4,433",4.20,Kennedy Ryan,"63,",1
4382,"Dark Magic (Dark, #4)","26,532",4.26,Christine Feehan,"63,",1
4383,The Great Alone,"616,319",4.39,Kristin Hannah,"63,",1
4384,The Warrior Prince (Dragon Lords #4),"2,218",4.09,Michelle M. Pillow,"62,",1
4385,"The Earl's Prize (Tallants, #1)",218,3.61,Nicola Cornick,"62,",1
4386,"Sleepless in Scotland (MacLean Curse, #4)","2,892",4.02,Karen Hawkins,"62,",2
4387,Saturday Night Special (Wild Irish #6),"1,329",4.25,Mari Carr,"62,",1
4388,"The Viking's Woman (Viking, #2)","1,799",3.94,Heather Graham,"62,",1
4389,"My Heart for Yours (Crawford, #1)","4,486",3.77,Steph Campbell,"62,",1
4390,Everlasting,"3,924",3.62,Kathleen E. Woodiwiss,"62,",2
4391,"London's Perfect Scoundrel (Lessons in Love, #2)","9,124",4.03,Suzanne Enoch,"62,",2
4392,Satisfaction,72,3.67,Rae Lawrence,"62,",1
4393,"Love Irresistibly (FBI/US Attorney, #4)","18,100",4.09,Julie James,"62,",1
4394,A Scandalous Plan,87,3.76,Donna Lea Simpson,"62,",1
4395,"Bound by Hatred (Born in Blood Mafia Chronicles, #3)","48,599",3.90,Cora Reilly,"62,",1
4396,Night Moves,"6,632",3.86,Nora Roberts,"62,",1
4397,Zack (Areion Fury MC #1),"1,165",4.21,Esther E. Schmidt,"62,",1
4398,The Deception of the Emerald Ring,"9,857",3.91,Lauren Willig,"62,",1
4399,"The Failing Hours (How to Date a Douchebag, #2)","16,345",4.10,Sara Ney,"62,",1
4400,My Biggest Mistake,"1,802",4.08,Leddy Harper,"62,",1
4401,"The Prophecy of Shadows (Elementals, #1)","5,990",3.83,Michelle Madow,"62,",1
4402,"Broken Hart (The Hart Family, #1)","14,370",3.91,Ella Fox,"62,",1
4403,The Pros of Cons,708,4.13,Alison Cherry,"62,",1
4404,The Dark Prince (Dragon Lords #3),"2,165",4.06,Michelle M. Pillow,"61,",1
4405,"The Playful Prince (Lords of the Var, #2)","2,254",4.11,Michelle M. Pillow,"61,",2
4406,"Last Night's Scandal (Carsington Brothers, #5)","4,672",3.90,Loretta Chase,"61,",1
4407,"Any Given Sunday (Wild Irish, #7)","1,415",4.22,Mari Carr,"61,",1
4408,Promises Reveal,"1,440",4.02,Sarah McCarty,"61,",2
4409,Splendor,784,3.83,Brenda Joyce,"61,",1
4410,Through the Heart,591,3.48,Kate Morgenroth,"61,",1
4411,"Marrying Stone (Tales from Marrying Stone, #1)",988,3.89,Pamela Morsi,"61,",1
4412,Finding Eden,"14,800",4.33,Mia Sheridan,"61,",1
4413,"On a Wild Night (Cynster, #8)","7,937",4.16,Stephanie Laurens,"61,",1
4414,"Forged in Fire (The Vessel Trilogy, #1)","1,817",3.75,Juliette Cross,"61,",1
4415,"Consolation (Salvation, #3; The Consolation Duet, #1)","20,556",4.34,Corinne Michaels,"61,",1
4416,"Shattered Hart (The Hart Family, #2)","8,113",4.05,Ella Fox,"61,",1
4417,Finding Love at Hedgehog Hollow: An emotional heartwarming read you won't be able to put down,"5,196",4.42,Jessica Redland,"61,",1
4418,To Have and to Hate,"11,671",3.99,R.S. Grey,"61,",1
4419,"The Perfect Prince (Dragon Lords, #2)",avg,really,Michelle M. Pillow,"60,",1
4420,"Bride by Mistake (Devil Riders, #5)","2,585",3.90,Anne Gracie,"60,",1
4421,"Not Quite a Lady (Carsington Brothers, #4)","4,611",3.87,Loretta Chase,"60,",2
4422,Friday I'm in Love (Wild Irish #5),"1,285",4.19,Mari Carr,"60,",1
4423,"The Earl (Gypsy Legacy, #3)",85,3.85,Denise Patrick,"60,",1
4424,They Did It with Love,"1,196",3.62,Kate Morgenroth,"60,",1
4425,"Awaken (Awaken, #1)","14,764",3.90,Katie Kacvinsky,"60,",1
4426,"Hemy (Walk of Shame, #2)","7,559",3.98,Victoria Ashley,"60,",1
4427,Keystone (Crossbreed #1),"11,817",4.07,Dannika Dark,"60,",1
4428,Becoming Calder,"16,160",4.26,Mia Sheridan,"60,",1
4429,All About Passion (Cynster #7),"6,981",4.05,Stephanie Laurens,"60,",1
4430,"Chasing River (Burying Water, #3)","6,478",4.14,K.A. Tucker,"60,",1
4431,Noah and Me,"1,120",3.97,Beckie Stevenson,"60,",1
4432,"Picture Perfect (Renegade Saints, #1)","7,088",3.99,Ella Fox,"60,",1
4433,The Pride of the Peacock,"4,345",3.87,Victoria Holt,"60,",1
4434,"Serpent & Dove (Serpent & Dove, #1)","243,278",4.02,Shelby Mahurin,"60,",1
4435,The Virtuous Widow,252,3.65,Anne Gracie,"59,",1
4436,Sweet Thursday (Wild Irish #4),"1,563",3.98,Mari Carr,"59,",1
4437,"The Duke (Gypsy Legacy, #2)",108,3.81,Denise Patrick,"59,",1
4438,Just a Summer Romance,241,3.75,Ann M. Martin,"59,",1
4439,Nobody's Darling,avg,really,Teresa Medeiros,"59,",1
4440,"A Stone Creek Christmas (Stone Creek, #4)","1,903",4.10,Linda Lael Miller,"59,",1
4441,"Slade (Walk of Shame, #1)","12,723",3.90,Victoria Ashley,"59,",1
4442,Falling for Gracie,"5,397",4.03,Susan Mallery,"59,",1
4443,"Beauty Awakened (Angels of the Dark, #2)","12,934",4.16,Gena Showalter,"59,",2
4444,A Perfect Stranger,18,3.67,Gina Wilkins,"59,",1
4445,"Shine (Mageri, #5; Mageriverse #5)","7,467",4.44,Dannika Dark,"59,",1
4446,"Burying Water (Burying Water, #1)","15,753",4.14,K.A. Tucker,"59,",1
4447,"Here and Now: Complete Series (Here and Now, #1-3)",634,4.47,Lexi Ryan,"59,",1
4448,"Loving Hart (The Hart Family, #3)","7,025",4.22,Ella Fox,"59,",1
4449,Summit Avenue,255,3.73,Mary Sharratt,"59,",1
4450,"Hello, Summer","25,008",3.92,Mary Kay Andrews,"59,",1
4451,"Süß wie die Sünde (York Family, #1)","1,867",3.72,Victoria Dahl,"59,",1
4452,In Your Eyes,210,3.82,Laura Moore,"58,",1
4453,My Dearest Enemy,"4,455",3.81,Connie Brockway,"58,",2
4454,Waiting for Wednesday (Wild Irish #3),"1,617",4.09,Mari Carr,"58,",1
4455,"The Marquis (Gypsy Legacy, #1)",267,3.40,Denise Patrick,"58,",1
4456,With or Without You,"6,498",3.79,Carole Matthews,"58,",1
4457,"Letting Go (Mitchell Family, #1)","13,187",4.07,Jennifer Foor,"58,",1
4458,"The Merchant's Daughter (Hagenheim, #2)","13,568",3.99,Melanie Dickerson,"58,",1
4459,The Last Chance Cafe,"2,208",4.02,Linda Lael Miller,"58,",1
4460,"King (The VIP Room, #3)","5,576",4.24,Jamie Begley,"58,",1
4461,"Tempting (Buchanans, #4)","6,965",4.06,Susan Mallery,"58,",1
4462,"Better When He's Brave (Welcome to the Point, #3)","5,176",4.11,Jay Crownover,"58,",1
4463,To Love Jason Thorn,"90,751",3.83,Ella Maise,"58,",1
4464,"Five Ways to Fall (Ten Tiny Breaths, #4)","15,786",4.29,K.A. Tucker,"58,",1
4465,"Wrecking Ball (Wrecked, #1)","1,577",4.07,B.N. Toler,"58,",1
4466,Life After You,"1,924",4.22,Siân O'Gorman,"58,",1
4467,Planlos ins Glück,"6,853",3.90,Victoria Dahl,"58,",1
4468,"A Shadow in the Ember (Flesh and Fire, #1)","81,463",4.49,Jennifer L. Armentrout,"58,",1
4469,"The Pirate Prince (Lords of the Var, #5)","1,376",4.16,Michelle M. Pillow,"57,",1
4470,Open Invitation (Harlequin Temptation #74),50,3.62,Tiffany White,"57,",1
4471,"No True Gentleman (Rutledge Family, #2)","1,053",3.93,Liz Carlyle,"57,",1
4472,"Eternal Starling (Emblem of Eternity, #1)","1,692",3.65,Angela Corbett,"57,",1
4473,Ruby Tuesday (Wild Irish #2),"2,042",4.02,Mari Carr,"57,",1
4474,"Wanderlove (Wanderlove, #1)","1,660",3.80,Belle Malory,"57,",1
4475,"Folding Hearts (Mitchell Family, #2)","8,092",4.27,Jennifer Foor,"57,",1
